1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,28,4,6,2,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,10,2,18,3,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,12,3,19,6,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,9,1,17,10,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,21,5,28,11,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,23,6,29,11,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,13,4,20,13,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,7,6,15,17,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,8,0,16,17,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,4,3,12,22,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,11,6,1,26,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,29,5,7,28,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,5,4,13,28,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,6,5,14,28,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,24,0,30,28,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,19,3,26,34,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,27,3,5,35,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,20,4,27,37,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
0,0,0,22,0,2,41,30,15,15,0,15,14,10,10,8,10,2,7,7,8,7,11,7,7,0
