15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
79592,223525,88948,217829,31929,226895,184351,223539,135913,223525,217860,88896,105612,21358,0
41271,247521,215321,133354,129725,122840,248379,247535,72275,247521,133354,201292,24364,54869,0
233272,186355,11225,225035,110513,113713,222673,186355,126962,186355,225035,231669,217594,76548,0
61397,116805,175307,111770,241553,244821,121697,116805,229177,116805,111770,177144,10738,99006,0
215210,155615,28907,95502,230968,145915,137899,155615,198050,155577,95502,160534,70441,139071,0
35984,62520,198734,165895,120497,8643,4411,62534,37552,62493,165924,5592,129277,147560,0
199970,67245,146576,59219,151808,66236,53874,67258,82977,67245,59219,58529,156115,209906,0
79724,139683,20860,206265,185263,5890,21880,139683,54219,139683,206265,91779,187073,215952,0
136533,233171,103480,59820,55441,17426,246882,233171,132879,233171,59856,149185,87718,219795,0
177373,186253,114245,61132,81690,230910,164435,186253,149047,186209,61165,195620,71488,236233,0
1070,151889,140099,59162,27399,98139,106713,151889,15231,151856,59162,62799,210241,2110,10
124727,37027,43399,147519,69939,117604,88159,37050,193645,37027,147549,38428,83189,50326,10
76189,171423,128934,12022,180913,180484,175166,171436,191051,171391,12070,136618,219042,86378,10
183548,41855,126331,198926,101017,78680,79725,41874,224585,41831,198926,239407,173690,88116,10
149933,106100,171285,29979,179693,208181,206236,106113,183985,106076,29979,58742,82972,91827,10
178892,249820,152101,28645,121201,64898,61745,249834,141472,249782,28645,78073,134481,103315,10
46618,49917,83779,16256,153231,17778,79914,49937,72935,49917,16256,159070,10184,145275,10
153569,37522,130402,33057,233751,78046,173228,37522,17128,37494,33057,245087,11661,156849,10
165328,176920,223938,88216,144896,22540,146761,176941,149986,176920,88241,208044,220808,214133,10
96528,112501,162746,65621,163229,145994,59690,112515,38689,112472,65621,88092,109984,29298,19
65946,88804,234461,49242,219431,191491,151178,88804,237307,88773,49242,242572,208439,61337,19
43844,84763,194530,73667,208012,76508,201051,84763,9000,84763,73667,159082,152970,62185,19
9975,207031,238611,184295,91410,87743,8525,207050,233194,207031,184295,152939,67509,80781,19
157358,65331,155874,174637,35399,158457,6485,65340,200511,65331,174672,22522,115569,82331,19
172603,199519,140513,109360,1622,76926,159898,199531,159035,199489,109390,76641,9994,99663,19
199602,46777,215988,50912,161291,161938,48448,46788,198104,46751,50912,9994,187862,104936,19
50323,195093,158448,237654,114659,10245,91803,195109,167079,195093,237654,169820,151067,121796,19
222607,65914,183784,167703,218364,97729,197184,65914,12930,65884,167703,132996,101628,128374,19
5930,212310,219131,34912,209303,101632,75481,212310,187544,212310,34940,92338,211958,134798,19
2907,239631,40224,113001,126028,38022,125106,239643,239061,239631,113001,235285,104068,239854,19
174829,246022,99045,1917,157834,217326,243954,246040,132761,245994,1950,190692,176659,8710,30
138541,8858,131288,194488,201233,3493,75323,8874,222335,8819,194488,215422,45203,14129,30
86557,54176,212755,6523,231931,195864,174781,54176,203999,54145,6523,216613,180944,31516,30
